,sigma,optimizer,seed,r
721,100.0,cobyla,61,0.9719395237582545
722,100.0,rmsprop,62,0.9724363526831755
723,100.0,cobyla,62,0.9887332720506197
724,100.0,rmsprop,63,1.0
725,100.0,cobyla,63,0.7641939601949113
726,100.0,rmsprop,64,0.8957662157650859
727,100.0,cobyla,64,1.0
728,100.0,rmsprop,65,1.0
729,100.0,cobyla,65,1.0
730,100.0,rmsprop,66,1.0
731,100.0,cobyla,66,1.0
732,100.0,rmsprop,67,1.0
733,100.0,cobyla,67,1.0
734,100.0,rmsprop,68,1.0
735,100.0,cobyla,68,0.9663753838241672
736,100.0,rmsprop,69,0.8945784174816679
737,100.0,cobyla,69,1.0
738,100.0,rmsprop,70,1.0
739,100.0,cobyla,70,1.0
